City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Saint-Pierre,RE,2022-02-02 23:27:09,-21.3393,55.4781,80.28,89,75,28.77
177,Saint-Philippe,RE,2022-02-02 23:27:09,-21.3585,55.7679,80.19,95,100,36.08
178,Chuy,UY,2022-02-02 23:24:32,-33.6971,-53.4616,71.89,81,0,12.88
179,Mahebourg,MU,2022-02-02 23:28:09,-20.4081,57.7,80.89,89,75,27.63
180,Srivardhan,IN,2022-02-02 23:28:10,18.0333,73.0167,68.11,74,5,5.08
181,Kon Tum,VN,2022-02-02 23:28:10,14.35,108.0,61.93,96,69,2.71
182,Yakhroma,RU,2022-02-02 23:28:10,56.3,37.4833,23.65,97,99,5.75
183,Georgetown,MY,2022-02-02 23:28:10,5.4112,100.3354,79.95,90,20,2.3
184,Kungurtug,RU,2022-02-02 23:28:11,50.5994,97.5228,-18.71,96,45,1.61
185,Secovce,SK,2022-02-02 23:25:16,48.7007,21.661,37.42,96,95,1.99
186,Yar-Sale,RU,2022-02-02 23:28:11,66.8333,70.8333,0.64,97,100,13.38
187,Marzuq,YE,2022-02-02 23:28:12,14.4,46.4667,62.67,45,95,4.05
188,North Bend,US,2022-02-02 23:28:12,43.4065,-124.2243,51.24,98,100,4.61
189,Saskylakh,RU,2022-02-02 23:28:12,71.9167,114.0833,-30.6,100,28,3.04
190,Roma,US,2022-02-02 23:28:13,43.2128,-75.4557,42.66,69,100,10.36
191,Kayes,ML,2022-02-02 23:28:13,14.0,-11.0,80.91,11,13,10.98
192,Linqiong,CN,2022-02-02 23:28:13,30.4159,103.4609,37.22,83,31,1.45
193,Xingyi,CN,2022-02-02 23:28:14,24.1877,102.817,38.71,96,66,4.18
194,Provideniya,RU,2022-02-02 23:28:14,64.3833,-173.3,10.51,72,75,40.26
195,Marsh Harbour,BS,2022-02-02 23:28:14,26.5412,-77.0636,71.46,63,8,16.24
196,Omsukchan,RU,2022-02-02 23:28:15,62.5333,155.8,-12.73,99,100,5.64
197,Sevojno,RS,2022-02-02 23:28:15,43.845,19.8986,40.73,95,95,6.6
198,Saint-Tite,CA,2022-02-02 23:28:15,46.7334,-72.5658,35.91,97,100,4.63
199,Bredasdorp,ZA,2022-02-02 23:28:16,-34.5322,20.0403,65.52,77,39,3.44
200,Saposoa,PE,2022-02-02 23:28:16,-6.934,-76.7716,88.41,63,100,0.25
201,Severo-Kurilsk,RU,2022-02-02 23:23:58,50.6789,156.125,29.14,78,98,7.54
202,Nouadhibou,MR,2022-02-02 23:28:17,20.931,-17.0347,73.38,49,1,17.27
203,Okha,RU,2022-02-02 23:28:17,53.5739,142.9478,2.1,94,100,26.28
204,Carnarvon,AU,2022-02-02 23:28:17,-24.8667,113.6333,78.87,89,67,11.5
205,Longyearbyen,SJ,2022-02-02 23:28:18,78.2186,15.6401,15.64,67,0,20.71
206,Colmar,FR,2022-02-02 23:28:18,48.0833,7.3667,49.08,93,100,2.3
207,Stauceni,MD,2022-02-02 23:28:19,47.0875,28.8703,23.79,93,100,3.44
208,Atar,MR,2022-02-02 23:28:19,20.5169,-13.0499,74.07,19,0,8.34
209,Faya,SA,2022-02-02 23:28:19,18.3851,42.4509,53.71,67,10,1.19
210,Lodja,CD,2022-02-02 23:28:20,-3.4833,23.4333,68.86,99,100,1.12
211,Tura,IN,2022-02-02 23:28:20,25.5198,90.2201,58.93,54,80,2.75
212,Boa Vista,BR,2022-02-02 23:25:08,2.8197,-60.6733,87.78,45,0,9.22
213,Ermoupolis,GR,2022-02-02 23:28:20,37.4423,24.9425,52.29,81,100,17.27
214,Koslan,RU,2022-02-02 23:28:21,63.4564,48.8989,20.68,96,100,4.29
215,Dvinskoy,RU,2022-02-02 23:28:21,62.1535,45.1175,21.74,97,100,2.06
216,Nuzvid,IN,2022-02-02 23:28:21,16.7833,80.85,63.21,92,17,2.59
